Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
21700	-2406.109092755709	-2388.3498055908103	-17.759287164898325	0.14891588210585657	6.313413703679231	540089.9106944668
21750	-2406.1709501290306	-2389.615742849868	-16.55520727916259	0.1708170834889145	5.276605379261427	109040.35575868367
21800	-2406.855252571702	-2388.742877624266	-18.112374947435708	0.1175645775000506	4.757480361269865	212580.39171128505
21850	-2404.322299863768	-2387.9141357361977	-16.40816412757021	0.27091143372710297	5.321239209463664	53117.74622802362
21900	-2403.7369439440713	-2387.7838117710044	-15.953132173066974	0.19635940514298486	5.2909950339613765	53117.74622802362
21950	-2404.6750518161025	-2387.668011273255	-17.007040542847207	0.12064069963260779	5.995565295064028	328556.453637972
22000	-2405.030542267906	-2388.5931552434117	-16.437387024494335	0.1163838598450176	6.436965960294095	158737.36033927952
22050	-2405.4439479790863	-2388.3245728898173	-17.11937508926893	0.05293354433306405	6.373563354209258	341060.14658917754
22100	-2409.060307450021	-2390.835938829371	-18.224368620649777	0.23826062469963094	6.556768649112787	341060.14658917754
22150	-2409.75201925518	-2391.3370594289117	-18.414959826268486	0.2531789643612305	6.411257264520357	418691.2952909819
22200	-2407.9192180199902	-2389.6034390107257	-18.315779009264553	0.27441262030581653	5.544702262331095	405781.78636772354
22250	-2410.990815447357	-2389.442958783805	-21.54785666355222	0.4252796547866043	6.434138637284609	1635006.0373582342
22300	-2412.090801282292	-2387.8118544616586	-24.278946820633415	0.4621513444994565	4.317526443200119	3744001.334999627
22350	-2411.2932631091326	-2390.510203317632	-20.783059791500264	0.23186076496779257	5.681764684416444	6963992.4802790955
22400	-2412.282279325044	-2388.1319112880683	-24.150368036975735	0.45388271371358985	4.526135144146432	6963992.4802790955
22450	-2412.5526041697403	-2387.5449579871447	-25.00764618259575	0.4379475098382905	7.48181985602822	5956739.339728988
22500	-2410.85361034803	-2387.388550872811	-23.465059475219366	0.4874144625075723	6.7930518311511605	3154106.882913889
22550	-2411.2086116160012	-2389.1580306328715	-22.050580983129876	0.43216201737560483	5.975084197485182	4087429.782987445
22600	-2410.130543165826	-2389.770886841595	-20.35965632423138	0.37072126833441965	5.221449826833905	1184262.3995965233
22650	-2407.8667229006073	-2387.816535691681	-20.050187208926367	0.077820756288403	5.651879088460644	6708576.802886602
22700	-2405.6942771271288	-2387.8738047437846	-17.820472383344	0.044189354955468385	6.068464855010108	696089.8782160297
22750	-2405.0582635139676	-2387.500406926798	-17.557856587169734	0.08697500942543186	7.169437964759963	240840.98736906511
22800	-2406.909934580431	-2387.500406926798	-19.40952765363337	0.1700336192843927	7.169437964759963	891983.9636079499
22850	-2410.836407069055	-2388.080824564545	-22.755582504510315	0.18700082530316653	7.355737651951323	1.5476067575535849E7
22900	-2415.5145858129313	-2389.9717894643004	-25.542796348630873	0.3750041048055848	5.042153089789865	1.563246497837112E8
22950	-2415.34409110777	-2390.3376304851445	-25.006460622625465	0.3844546923801975	5.042390961516168	8.64745810512127E7
23000	-2413.107321601734	-2388.4987762410933	-24.608545360640413	0.3844546923801975	6.109898786744325	7.611159161329032E7
23050	-2413.5747047937493	-2387.7773276511284	-25.797377142620704	0.0977475370804725	8.001432095809704	1.8404622350608513E8
23100	-2413.5623561923626	-2388.4090122795246	-25.153343912838178	0.566862359081303	5.095663102309172	2.3629102243521553E7
23150	-2414.224975921913	-2387.7329574548694	-26.4920184670437	0.566363520432886	5.106958562609984	9.066693259672932E7
23200	-2413.9464486946085	-2387.39144699197	-26.555001702638492	0.22870944577098798	6.128228062016875	2.2146076650636086E9
23250	-2414.7878046768	-2389.5011290076723	-25.286675669127924	0.32177244691879076	5.413838663645617	2.8409298030955774E8
23300	-2411.6865678666236	-2387.6996012862573	-23.986966580366335	0.265921865950777	6.1445157597347935	1.2289867045329669E8
23350	-2413.080985397731	-2387.4928607014126	-25.588124696318538	0.35245479186647205	6.769949992725684	1.2860625501512627E8
23400	-2413.0340648718948	-2388.7756620855425	-24.2584027863521	0.0995414618575882	7.069725862060791	2.1576829983911857E8
23450	-2413.1708928270486	-2387.4957207212688	-25.675172105779982	0.10935762547551714	8.318997428699989	7.222727265312131E7
23500	-2417.2923723890904	-2392.2722334030923	-25.020138985998003	0.28959271748630655	6.102723556359892	2.907250289959685E8
23550	-2415.614214152632	-2390.758688431657	-24.855525720974867	0.20395671829015832	6.010941428854309	5.1693492144654804E8
23600	-2416.6960750246208	-2388.3088830805796	-28.38719194404129	0.29498592607550445	7.6711103686882725	6.740554746925299E8
23650	-2414.7396784547086	-2387.4904621529577	-27.24921630175097	0.1838730267285713	7.568188294680181	9.482164558282081E8
23700	-2415.8579114935255	-2388.1099791950824	-27.747932298443104	0.1838730267285713	5.002690639695008	4.78870881587798E9
23750	-2414.537392567496	-2387.497637555771	-27.03975501172534	0.1838730267285713	6.8428883256269755	2.6618536426660585E9
23800	-2416.212870787329	-2389.0769195691973	-27.1359512181316	0.01870280421879879	6.598975173503136	3.699949662862504E9
23850	-2414.1438295213634	-2387.984458152279	-26.159371369084568	0.04397790549458199	5.908650040723694	2.8572260074463377E9
23900	-2416.287938600678	-2387.546986428612	-28.740952172066073	0.09123000019796727	6.426132840152544	3.861319694734374E10
23950	-2419.515212376428	-2389.2567060188035	-30.25850635762446	0.11929199345752739	6.718160016187194	1.2328023025272308E11
24000	-2420.4256407184603	-2388.551027370456	-31.874613348004402	0.24182412091425445	4.3527107708096135	3.2079425656035854E10
24050	-2421.9232910926253	-2388.79677582536	-33.126515267265205	0.49471135502312363	6.23106882925442	1.066967662953768E11
24100	-2417.560386778332	-2387.5486525540923	-30.011734224239603	0.3014420498459118	5.536020301299503	3.975056221431066E10
24150	-2417.077409005954	-2387.699550623315	-29.377858382638625	0.11514231028393619	5.189086493070783	4.372863218379532E10
24200	-2418.1230364739076	-2389.6941879859965	-28.428848487911285	0.07303380508411088	6.827149801949253	2.020030233928429E10
24250	-2415.4735651997157	-2387.738568952931	-27.734996246784764	0.08517614807580816	6.514427521180466	1.3398277887301378E10
24300	-2417.156057105724	-2387.7050737734285	-29.4509833322953	0.3656618335782464	4.932862918502097	7.141971964673745E9
24350	-2414.039415461528	-2389.2292219013643	-24.81019356016348	0.1759711259901154	6.1900460328936715	5.61212689331268E8
24400	-2413.7262509283764	-2389.201516382722	-24.52473454565447	0.1818580466970269	6.831815013604137	2.2257410136347368E8
24450	-2408.4773584994537	-2387.378298063002	-21.099060436451285	0.12840842669264313	5.600898784672063	1.7042503103350762E7
24500	-2408.6259235818698	-2387.4337333968288	-21.1921901850412	0.14320144638577306	7.265652220130527	5635865.91058362
24550	-2411.3462038104626	-2388.0450644071684	-23.30113940329436	0.11578940765347492	5.749218287639585	1.743740295794386E8
24600	-2412.9970938010465	-2389.1062962645683	-23.890797536478246	0.212066716967692	6.601451631905713	1.198164323154625E8
24650	-2414.3310168075814	-2389.5389423979154	-24.792074409665744	0.053243089823986234	5.293775933471383	4.744895255520576E8
24700	-2415.6044147646217	-2390.4049213488697	-25.199493415752073	0.15350751876450716	5.135027289450664	5.47018744690983E8
24750	-2415.699030126339	-2388.941104997627	-26.757925128712095	0.20726848048983842	5.245583995830612	2.3461761360187736E9
24800	-2415.615736782421	-2387.6504440977287	-27.9652926846927	0.05571600703566029	7.1458960550126935	8.333298368990912E9
24850	-2415.21805892187	-2387.63564327557	-27.58241564630005	0.09514552524658529	7.1458960550126935	5.465542212379551E9
24900	-2413.7573048385184	-2388.197225205755	-25.56007963276354	0.20662512138005049	5.040045290567807	5.134959421354297E8
24950	-2413.4014962789884	-2388.5489408223393	-24.852555456649057	0.350677005441059	5.952016706984845	1.465741289551078E8
25000	-2414.4482194776165	-2388.5469829917956	-25.901236485821	0.36330611074750613	5.434354893961731	3.678531939136959E8
25050	-2418.4274650621983	-2391.175099728227	-27.25236533397133	0.41174192160978224	5.72936485978651	9.618946724058073E8
25100	-2415.507513635778	-2387.9535664037353	-27.553947232043072	0.41174192160978224	4.8034406362903725	5.90713670163528E8
25150	-2417.167610525594	-2387.4521920924103	-29.71541843318356	0.6181152953221394	5.842947883287223	1.444787296089667E9
25200	-2418.0440646968336	-2388.240509819138	-29.80355487769546	0.3781563542363404	4.76438181516231	6.580222321388789E9
25250	-2418.2106417977434	-2389.584384772166	-28.626257025577782	0.12462553607996218	7.780272717342151	4.1284990573392563E9
25300	-2414.4387550750716	-2387.609594754157	-26.829160320914422	0.2517713897814832	6.633972937108366	1.52714772850588E9
25350	-2413.637160413663	-2388.0181670500347	-25.618993363628192	0.10261737763765559	6.553813034267361	1.4958928947425175E9
25400	-2413.871217552789	-2388.439900558948	-25.431316993840927	0.0373476195395124	6.3222099542807895	1.2296118657395873E9
